,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,"Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)",Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam
nama_kab,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024
KUBU RAYA,-,0,0,-,0,0,-,0.001,0.021,0.023,0.024,0.02,0.022,0.027,0.026,0.026,1.496,1.49,1.516,1.57,1.502,1.511,1.478,1.408,0.013,0.019,0.024,0.02,0.017,0.019,0.012,0.021,0.055,0.045,0.042,0.045,0.051,0.044,0.04
KOTA PONTIANAK,0.001,0,0,0.001,0.001,0.001,-,0,0.071,0.053,0.052,0.06,0.074,0.054,0.051,0.06,1.201,1.216,1.198,1.23,1.196,1.232,1.218,1.184,0.036,0.044,0.036,0.036,0.044,0.04,0.036,0.026,0.076,0.071,0.067,0.064,0.076,0.069,0.06
KOTA SINGKAWANG,0.001,0.001,0.001,0.001,0.001,-,-,0.002,0.031,0.037,0.033,0.035,0.044,0.032,0.03,0.03,1.377,1.357,1.371,1.393,1.36,1.317,1.336,1.329,0.026,0.042,0.057,0.039,0.03,0.02,0.025,0.012,0.043,0.052,0.051,0.062,0.058,0.047,0.034
KOTAWARINGIN BARAT,0,0,0,0.001,0.003,0,-,0.003,0.052,0.048,0.03,0.042,0.045,0.041,0.04,0.037,1.6,1.542,1.586,1.594,1.676,1.519,1.505,1.535,0.021,0.018,0.019,0.048,0.023,0.033,0.018,0.036,0.078,0.064,0.056,0.073,0.097,0.047,0.066
KOTAWARINGIN TIMUR,-,0.001,0,0,-,-,-,-,0.014,0.023,0.018,0.029,0.044,0.027,0.023,0.031,1.565,1.509,1.519,1.604,1.594,1.629,1.582,1.534,0.011,0.013,0.021,0.03,0.02,0.018,0.029,0.031,0.046,0.048,0.041,0.048,0.061,0.049,0.034
KAPUAS,0.001,0,0,-,-,0,0.001,-,0.01,0.018,0.02,0.012,0.015,0.014,0.009,0.013,1.633,1.672,1.706,1.704,1.83,1.752,1.578,1.587,0.009,0.015,0.027,0.007,0.01,0.028,0.025,0.037,0.046,0.043,0.046,0.049,0.06,0.054,0.049
BARITO SELATAN,0,0,0,-,-,-,-,0,0.014,0.011,0.012,0.022,0.027,0.011,0.022,0.025,1.714,1.707,1.715,1.847,1.758,1.976,1.61,1.522,0.03,0.015,0.028,0.019,0.02,0.017,0.016,0.021,0.03,0.05,0.054,0.049,0.077,0.055,0.055
BARITO UTARA,0.001,0,0,-,-,0.001,-,-,0.025,0.013,0.029,0.017,0.027,0.019,0.006,0.026,1.64,1.494,1.585,1.616,1.511,1.561,1.412,1.373,0.015,0.011,0.014,0.026,0.032,0.029,0.02,0.008,0.058,0.06,0.091,0.065,0.099,0.063,0.058
SUKAMARA,0,0,0.001,-,0.008,-,-,-,0.022,0.021,0.036,0.041,0.057,0.033,0.025,0.028,1.726,1.597,1.519,1.606,1.483,1.508,1.507,1.537,0.008,0.011,0.021,0.012,0.011,0.005,0.008,0.005,0.052,0.046,0.047,0.061,0.058,0.066,0.035
LAMANDAU,0,0,0.001,-,0.004,-,-,0.001,0.018,0.024,0.038,0.038,0.04,0.055,0.046,0.042,1.623,1.601,1.614,1.668,1.549,1.577,1.529,1.474,0.021,0.015,0.025,0.02,0.022,0.034,0.017,0.015,0.07,0.073,0.078,0.082,0.088,0.069,0.067
SERUYAN,0.001,0,0,0,0,-,-,0,0.013,0.029,0.016,0.026,0.048,0.028,0.021,0.023,1.626,1.343,1.48,1.62,1.694,1.676,1.467,1.593,0.008,0.007,0.016,0.016,0.018,0.018,0.022,0.028,0.046,0.052,0.039,0.049,0.078,0.06,0.05
KATINGAN,0,0,0,-,-,-,-,-,0.011,0.018,0.019,0.02,0.028,0.026,0.016,0.033,1.81,1.733,1.671,1.709,1.677,1.599,1.464,1.592,0.028,0.023,0.004,0.002,0.008,0.014,0.011,0.018,0.047,0.052,0.045,0.049,0.054,0.063,0.053
PULANG PISAU,0,0.001,0,-,-,-,-,0.001,0.013,0.013,0.008,0.014,0.008,0.012,0.013,0.016,1.81,1.717,1.605,1.649,1.757,1.82,1.631,1.668,0.01,0.011,0.034,0.023,0.009,0.019,0.038,0.03,0.057,0.07,0.057,0.058,0.049,0.06,0.056
GUNUNG MAS,-,0,0,-,0,0,-,-,0.003,0.021,0.012,0.006,0.004,0.021,0.009,0.01,1.602,1.616,1.636,1.732,1.556,1.588,1.623,1.575,0.019,0.008,0.015,0.036,0.022,0.043,0.02,0.027,0.032,0.035,0.024,0.038,0.04,0.043,0.028
BARITO TIMUR,-,0,0,-,-,0.001,0,-,0.016,0.01,0.021,0.013,0.014,0.01,0.018,0.027,1.741,1.661,1.704,1.676,1.909,1.711,1.521,1.625,0.022,0.007,0.019,0.021,0.021,0.023,0.01,0.042,0.034,0.039,0.05,0.043,0.049,0.041,0.051
MURUNG RAYA,-,0,0,0,-,0,-,0,0.01,0.009,0.011,0.01,0.006,0.012,0.009,0.02,1.699,1.653,1.692,1.624,1.679,1.721,1.654,1.695,0.018,0.014,0.008,0.021,0.018,0.024,0.007,0.01,0.064,0.084,0.068,0.058,0.082,0.059,0.085
KOTA PALANGKARAYA,0,0.001,0,0.002,0,-,0,-,0.039,0.04,0.041,0.051,0.066,0.057,0.033,0.037,1.172,1.171,1.153,1.345,1.293,1.352,1.21,1.206,0.022,0.022,0.027,0.028,0.042,0.025,0.024,0.031,0.065,0.057,0.062,0.075,0.08,0.065,0.054
TANAH LAUT,-,0,0,-,0.002,-,-,-,0.008,0.009,0.014,0.017,0.027,0.021,0.01,0.016,1.571,1.508,1.52,1.597,1.579,1.582,1.532,1.428,0.017,0.028,0.032,0.023,0.022,0.03,0.043,0.023,0.074,0.05,0.053,0.067,0.065,0.053,0.05
KOTABARU,0,0,0,-,0.001,0,-,0,0.023,0.014,0.02,0.015,0.012,0.016,0.014,0.02,1.517,1.405,1.502,1.513,1.538,1.446,1.539,1.514,0.036,0.018,0.018,0.03,0.019,0.028,0.039,0.021,0.044,0.05,0.039,0.045,0.044,0.036,0.032
BANJAR,0,0,0,0,-,-,-,0.001,0.007,0.007,0.01,0.015,0.018,0.012,0.006,0.012,1.591,1.561,1.611,1.669,1.627,1.574,1.545,1.499,0.024,0.038,0.046,0.053,0.065,0.047,0.071,0.035,0.032,0.04,0.037,0.038,0.034,0.042,0.038
BARITO KUALA,-,0.001,0,0,0,-,-,0,0.01,0.007,0.008,0.012,0.019,0.009,0.01,0.011,1.756,1.811,1.742,1.842,1.718,1.727,1.745,1.646,0.029,0.038,0.036,0.03,0.04,0.036,0.042,0.025,0.036,0.051,0.042,0.045,0.043,0.04,0.037
TAPIN,-,0,0,0,-,0,-,-,0.008,0.008,0.006,0.018,0.024,0.021,0.019,0.01,1.599,1.537,1.596,1.616,1.53,1.638,1.459,1.524,0.019,0.044,0.062,0.032,0.036,0.036,0.066,0.041,0.055,0.043,0.045,0.045,0.052,0.064,0.044
HULU SUNGAI SELATAN,-,0,0,-,-,-,-,-,0.006,0.006,0.007,0.004,0.01,0.004,0.006,0.007,1.606,1.624,1.495,1.615,1.64,1.712,1.568,1.632,0.006,0.024,0.023,0.027,0.028,0.024,0.039,0.021,0.044,0.046,0.04,0.045,0.051,0.041,0.042
HULU SUNGAI TENGAH,0,0,0,0.002,0.001,0.001,0,-,0.006,0.009,0.005,0.005,0.005,0.012,0.012,0.01,1.609,1.576,1.616,1.667,1.651,1.714,1.597,1.504,0.014,0.022,0.032,0.024,0.021,0.078,0.083,0.052,0.036,0.042,0.033,0.037,0.045,0.036,0.023
HULU SUNGAI UTARA,0,0,0.001,-,-,0,0,-,0.005,0.007,0.004,0.011,0.015,0.012,0.022,0.013,1.64,1.663,1.536,1.741,1.802,1.693,1.528,1.582,0.02,0.017,0.018,0.03,0.04,0.039,0.045,0.043,0.036,0.025,0.027,0.021,0.031,0.027,0.024
TABALONG,0,0,0,0,-,0,0,-,0.011,0.014,0.026,0.021,0.03,0.022,0.024,0.055,1.572,1.383,1.333,1.419,1.534,1.45,1.298,1.293,0.021,0.018,0.049,0.037,0.022,0.012,0.04,0.049,0.037,0.042,0.036,0.037,0.06,0.039,0.043
TANAH BUMBU,0,0,0.001,0,0,0,0.001,-,0.018,0.019,0.015,0.019,0.017,0.026,0.017,0.025,1.377,1.385,1.389,1.477,1.468,1.337,1.272,1.288,0.038,0.045,0.03,0.029,0.023,0.039,0.025,0.025,0.062,0.065,0.074,0.064,0.063,0.048,0.039
BALANGAN,-,0,0,0,-,-,-,-,0.008,0.008,0.01,0.009,0.017,0.011,0.006,0.015,1.644,1.627,1.605,1.731,1.578,1.634,1.487,1.475,0.019,0.023,0.023,0.022,0.024,0.035,0.035,0.046,0.033,0.025,0.031,0.036,0.033,0.028,0.035
KOTA BANJARMASIN,0,0.001,0.001,0.001,0.001,0.001,-,0,0.038,0.019,0.023,0.036,0.029,0.033,0.03,0.032,1.324,1.315,1.309,1.336,1.419,1.432,1.315,1.332,0.041,0.03,0.039,0.031,0.017,0.029,0.038,0.039,0.06,0.035,0.035,0.038,0.044,0.037,0.037
KOTA BANJARBARU,0.002,0,0,0.006,0,0,0.001,0,0.028,0.029,0.036,0.046,0.059,0.045,0.044,0.029,1.227,1.2,1.249,1.304,1.24,1.245,1.174,1.226,0.027,0.04,0.05,0.042,0.052,0.055,0.043,0.044,0.074,0.056,0.061,0.062,0.065,0.058,0.072
PASER,-,0,0,-,-,-,-,0,0.014,0.021,0.027,0.027,0.021,0.032,0.016,0.031,1.446,1.502,1.396,1.505,1.45,1.354,1.342,1.353,0.016,0.009,0.028,0.024,0.017,0.024,0.019,0.044,0.068,0.079,0.076,0.079,0.08,0.092,0.075
KUTAI BARAT,-,0,0,-,-,0,-,-,0.011,0.011,0.007,0.019,0.005,0.018,0.019,0.009,1.508,1.538,1.427,1.483,1.442,1.542,1.406,1.436,0.035,0.027,0.03,0.064,0.023,0.053,0.026,0.036,0.043,0.045,0.053,0.044,0.056,0.054,0.054
KUTAI KARTANEGARA,0,0,0.001,0,0,0.001,0,0,0.015,0.025,0.037,0.016,0.023,0.036,0.029,0.023,1.407,1.464,1.423,1.449,1.439,1.418,1.437,1.363,0.013,0.01,0.023,0.02,0.025,0.032,0.04,0.053,0.056,0.062,0.062,0.067,0.066,0.066,0.08
KUTAI TIMUR,-,0.001,0,0,0.001,0.001,-,0,0.031,0.037,0.025,0.024,0.035,0.033,0.029,0.049,1.475,1.399,1.491,1.545,1.413,1.502,1.472,1.487,0.038,0.063,0.054,0.043,0.065,0.019,0.057,0.074,0.062,0.073,0.083,0.093,0.105,0.076,0.067
BERAU,0.002,0,0.002,-,-,-,0,0,0.033,0.043,0.035,0.037,0.053,0.037,0.038,0.028,1.445,1.395,1.434,1.457,1.371,1.378,1.391,1.326,0.038,0.054,0.041,0.052,0.025,0.029,0.044,0.037,0.066,0.07,0.07,0.069,0.083,0.084,0.06
PENAJAM PASER UTARA,-,0,0,-,0,0,0.001,0,0.009,0.022,0.007,0.021,0.014,0.018,0.019,0.032,1.466,1.423,1.444,1.538,1.436,1.47,1.419,1.437,0.014,0.028,0.038,0.04,0.01,0.035,0.05,0.047,0.053,0.078,0.053,0.058,0.058,0.053,0.045
MAHAKAM ULU,-,0.001,0,-,-,-,0,-,0.009,0.017,0.025,0.021,0.03,0.039,0.035,0.023,1.47,1.618,1.621,1.742,1.594,1.56,1.809,1.631,0.013,0.024,0.016,0.017,0.017,0.014,0.009,0.006,0.079,0.054,0.069,0.081,0.079,0.095,0.072
KOTA BALIKPAPAN,0.001,0.001,0,0,0.001,0,-,0,0.08,0.058,0.045,0.06,0.065,0.055,0.047,0.056,1.16,1.152,1.078,1.2,1.237,1.29,1.247,1.182,0.057,0.052,0.042,0.042,0.034,0.038,0.038,0.07,0.08,0.065,0.06,0.07,0.072,0.053,0.056
KOTA SAMARINDA,0,0,0.001,0,0.001,0.002,0.001,0,0.043,0.034,0.051,0.038,0.059,0.047,0.043,0.044,1.157,1.074,1.213,1.172,1.237,1.201,1.159,1.232,0.045,0.048,0.067,0.029,0.037,0.04,0.056,0.045,0.063,0.057,0.07,0.056,0.072,0.059,0.065
KOTA BONTANG,-,0,0.002,-,0,0,0,-,0.03,0.039,0.044,0.047,0.05,0.044,0.047,0.049,1.25,1.255,1.122,1.293,1.252,1.188,1.132,1.068,0.094,0.067,0.064,0.068,0.069,0.053,0.037,0.073,0.064,0.063,0.068,0.09,0.071,0.064,0.062
MALINAU,-,0,0,0.002,-,-,0.003,-,0.014,0.02,0.019,0.015,0.026,0.01,0.023,0.013,1.576,1.575,1.512,1.503,1.592,1.639,1.783,1.569,0.02,0.039,0.021,0.018,0.017,0.027,0.035,0.042,0.09,0.081,0.088,0.074,0.105,0.092,0.115
BULUNGAN,-,0,0,0.001,-,0,0.001,0.001,0.011,0.021,0.024,0.025,0.022,0.023,0.016,0.022,1.438,1.47,1.459,1.519,1.555,1.642,1.371,1.488,0.017,0.036,0.029,0.056,0.023,0.019,0.031,0.058,0.08,0.08,0.085,0.098,0.078,0.085,0.078
TANA TIDUNG,-,0,0,-,-,-,-,0,0.015,0.013,0.014,0.018,0.017,0.017,0.017,0.033,1.599,1.469,1.42,1.447,1.446,1.432,1.404,1.292,0.01,0.04,0.044,0.019,0.027,0.019,0.051,0.04,0.093,0.069,0.058,0.069,0.093,0.073,0.081
NUNUKAN,-,0,0,-,-,-,-,0,0.016,0.015,0.014,0.013,0.028,0.026,0.014,0.021,1.503,1.505,1.441,1.571,1.525,1.499,1.428,1.502,0.041,0.025,0.037,0.058,0.063,0.064,0.034,0.079,0.067,0.08,0.066,0.07,0.091,0.083,0.096
KOTA TARAKAN,0,0,0,0,0,0,-,0,0.034,0.033,0.039,0.041,0.034,0.035,0.033,0.03,1.307,1.263,1.228,1.418,1.299,1.335,1.264,1.191,0.023,0.061,0.026,0.036,0.017,0.032,0.038,0.029,0.051,0.058,0.057,0.072,0.083,0.081,0.053
BOLAANG MONGONDOW,-,0.001,0.002,0.001,0.001,0,0.001,-,0.043,0.052,0.065,0.064,0.075,0.07,0.063,0.043,1.953,1.962,1.956,1.87,1.852,1.939,1.923,1.895,0.026,0.09,0.053,0.039,0.081,0.031,0.034,0.03,0.043,0.042,0.041,0.05,0.051,0.041,0.043
MINAHASA,0,0,0,0,-,-,0,-,0.037,0.042,0.026,0.048,0.054,0.062,0.049,0.047,1.821,1.693,1.783,1.864,1.737,1.874,1.771,1.845,0.008,0.012,0.021,0.005,0.016,0.039,0.035,0.031,0.012,0.006,0.014,0.018,0.024,0.007,0.015
KEPULAUAN SANGIHE,-,0,0,-,-,-,-,-,0.005,0.005,0.001,0.003,0.012,0.002,0.002,0.008,1.685,1.57,1.59,1.611,1.604,1.693,1.663,1.809,0.003,0.004,0.001,0.001,0.006,0.001,0.005,0.003,0.005,0.005,0.015,0.007,0.011,0.009,0.009
KEPULAUAN TALAUD,-,0,0,-,0.001,0,-,0,0.003,0.004,0.001,0.003,0.011,0.008,0.006,0.004,1.603,1.523,1.619,1.599,1.645,1.716,1.658,1.545,0.001,0.002,0.001,0.002,0.004,0.003,0.002,0.003,0.008,0.012,0.008,0.009,0.019,0.02,0.011
MINAHASA SELATAN,-,0,0,-,-,-,0,0.001,0.058,0.069,0.069,0.083,0.103,0.062,0.064,0.057,2.002,1.928,2.055,1.994,1.949,2.039,1.949,2.068,0.014,0.014,0.03,0.024,0.024,0.014,0.025,0.02,0.006,0.008,0.01,0.01,0.014,0.017,0.006
MINAHASA UTARA,0,0.001,0,-,0.001,-,-,-,0.02,0.024,0.029,0.029,0.036,0.034,0.027,0.019,1.745,1.757,1.706,1.779,1.756,1.785,1.762,1.714,0.018,0.012,0.035,0.022,0.019,0.02,0.024,0.016,0.032,0.016,0.026,0.011,0.022,0.029,0.016
BOLAANG MONGONDOW UTARA,-,0,0.001,-,0,0,0.001,-,0.008,0.012,0.016,0.007,0.023,0.017,0.007,0.009,1.757,1.727,1.792,1.863,1.914,1.979,1.718,1.833,0.033,0.041,0.053,0.057,0.025,0.027,0.021,0.02,0.03,0.041,0.022,0.031,0.023,0.02,0.022
KEP. SIAU TAGULANDANG BIARO,-,0,0,0,-,-,-,-,0.007,0.004,0.004,0.005,0.004,0.002,0.003,0.003,1.801,1.736,1.687,1.672,1.79,1.873,1.709,1.642,0.001,0.001,0.004,0.001,-,0.003,0.004,0.002,0.002,0.008,0.006,0.004,0.015,0.01,0.009
MINAHASA TENGGARA,0,0,0.002,0.001,0.002,-,-,-,0.035,0.027,0.027,0.026,0.042,0.034,0.025,0.043,1.976,1.926,1.937,2.056,1.911,2.074,1.868,1.759,0.013,0.008,0.013,0.013,0.018,0.009,0.039,0.044,0.015,0.019,0.015,0.014,0.018,0.016,0.011
BOLAANG MONGONDOW SELATAN,0,0,0,0.002,0,-,0,0,0.009,0.014,0.008,0.006,0.018,0.012,0.009,0.017,1.985,1.755,1.887,1.966,1.862,1.841,1.842,2.014,0.023,0.02,0.026,0.018,0.052,0.011,0.016,0.022,0.029,0.028,0.035,0.039,0.041,0.02,0.022
BOLAANG MONGONDOW TIMUR,0,0,0,0.001,0,-,0,0,0.053,0.08,0.074,0.067,0.068,0.08,0.063,0.052,1.87,1.949,1.964,2.013,2.043,2.087,1.968,2.055,0.063,0.015,0.035,0.015,0.049,0.02,0.01,0.01,0.016,0.035,0.053,0.027,0.054,0.03,0.021
KOTA MANADO,0,0,0.001,-,-,0,-,-,0.027,0.028,0.025,0.037,0.038,0.027,0.02,0.026,1.637,1.578,1.623,1.454,1.731,1.609,1.539,1.551,0.015,0.005,0.013,0.013,0.011,0.009,0.013,0.016,0.027,0.022,0.018,0.023,0.021,0.013,0.015
KOTA BITUNG,-,0,0,-,-,0.001,-,-,0.022,0.026,0.017,0.017,0.012,0.027,0.014,0.017,1.711,1.702,1.782,1.753,1.798,1.981,1.668,1.629,0.033,0.026,0.034,0.018,0.012,0.021,0.024,0.022,0.032,0.037,0.014,0.022,0.016,0.025,0.013
KOTA TOMOHON,0,0,0.004,-,0,0,-,-,0.041,0.058,0.048,0.038,0.063,0.048,0.038,0.035,1.815,1.815,1.726,1.821,1.912,1.845,1.606,1.829,0.025,0.04,0.038,0.023,0.023,0.021,0.015,0.019,0.01,0.014,0.009,0.01,0.01,0.013,0.021
KOTA KOTAMOBAGU,0.001,0,0.001,0,0,0,-,0,0.062,0.068,0.055,0.059,0.098,0.081,0.082,0.082,1.677,1.756,1.66,1.749,1.752,1.755,1.763,1.731,0.017,0.008,0.02,0.008,0.049,0.022,0.037,0.038,0.042,0.049,0.042,0.036,0.062,0.037,0.04
BANGGAI KEPULAUAN,-,0,0,-,-,-,0,-,-,0,0.001,0.001,0,0.002,0,0.005,1.73,1.519,1.778,1.739,1.902,1.822,2.027,1.829,0.011,0.007,0.012,0.02,0.011,0.029,0.012,0.026,0.026,0.026,0.033,0.027,0.032,0.023,0.032
BANGGAI,0.001,0.001,0,-,0.001,0.002,0,0.003,0.004,0.005,0.014,0.001,0.007,0.006,0.004,0.008,1.844,1.63,1.96,1.775,1.799,1.975,1.744,1.711,0.118,0.102,0.106,0.073,0.056,0.036,0.067,0.095,0.087,0.053,0.093,0.09,0.114,0.08,0.061
MOROWALI,0.003,0.001,0,0,-,0,-,0,0.006,0.011,0.005,0.007,0.005,0.006,0.017,0.005,1.848,1.887,1.919,1.934,1.764,1.979,1.77,1.874,0.054,0.051,0.07,0.024,0.013,0.029,0.03,0.032,0.073,0.084,0.082,0.074,0.079,0.147,0.112
POSO,-,0,0.001,-,0,0,-,-,0.01,0.003,0.007,0.004,0.007,0.016,0.01,0.01,2.03,2.026,1.885,2.04,2.001,2.1,1.938,1.951,0.056,0.075,0.033,0.083,0.048,0.028,0.062,0.033,0.039,0.041,0.069,0.049,0.053,0.056,0.053
DONGGALA,0.001,0,0,0,-,-,0,0.001,0.002,0.002,0.001,0.004,0.005,0.006,0.011,0.007,1.976,1.949,1.94,2.117,2.069,2.346,2.13,2.075,0.059,0.082,0.044,0.051,0.059,0.068,0.079,0.089,0.049,0.04,0.039,0.051,0.042,0.06,0.048
TOLITOLI,0.001,0,0.001,-,-,-,-,0,0.003,0.003,0.003,0.003,0.006,0.004,0.003,0.002,1.616,1.501,1.559,1.64,1.651,1.66,1.588,1.568,0.084,0.092,0.114,0.065,0.033,0.073,0.069,0.066,0.047,0.061,0.052,0.045,0.071,0.061,0.049
BUOL,-,0,0,-,-,-,-,0,0.002,0.004,0.002,0.004,0.001,0.001,0.003,0.003,1.817,1.635,1.59,1.609,1.597,1.637,1.575,1.615,0.075,0.052,0.076,0.146,0.111,0.063,0.109,0.079,0.062,0.082,0.057,0.072,0.059,0.045,0.08
PARIGI MOUTONG,0,0,0,-,-,-,-,0,0.001,0.005,0.005,0.008,0.007,0.004,0.004,0.007,1.828,1.725,1.837,1.813,1.815,1.768,1.744,1.807,0.047,0.048,0.103,0.052,0.051,0.071,0.068,0.06,0.066,0.062,0.05,0.047,0.05,0.053,0.056
TOJO UNA-UNA,0.001,0,0,-,-,-,0.001,-,0.001,0.003,0.004,0.004,0.006,0.002,0.004,0.002,1.797,1.726,1.759,1.663,1.588,1.737,1.65,1.63,0.04,0.07,0.03,0.045,0.037,0.026,0.023,0.023,0.052,0.06,0.065,0.059,0.052,0.061,0.058
SIGI,-,0,0,-,-,0,-,0,0.004,0.005,0.008,0.006,0.004,0.005,0.006,0.004,1.978,1.82,1.855,1.931,2.036,1.949,2.173,1.977,0.056,0.073,0.05,0.056,0.044,0.038,0.065,0.035,0.044,0.051,0.049,0.037,0.045,0.054,0.046
BANGGAI LAUT,-,0,0,0,0.001,0,0,-,0.001,0.004,0.002,0.001,0.001,0.004,0.001,0.002,1.9,1.812,1.91,2.012,2.183,2.041,2.03,1.935,0.006,0.021,0.01,0.013,0.01,0.007,0.005,0.008,0.085,0.052,0.062,0.062,0.05,0.061,0.071
MOROWALI UTARA,0.003,0.001,0,0,-,0.001,0,0.002,0.003,0.005,0.007,0.004,0.009,0.004,0.009,0.01,2.077,1.999,1.964,2.068,2.01,1.958,1.698,1.885,0.058,0.035,0.034,0.044,0.027,0.037,0.078,0.069,0.061,0.064,0.068,0.105,0.107,0.067,0.083
KOTA PALU,0,0.001,0.003,0.001,0.001,0,-,-,0.013,0.03,0.023,0.023,0.027,0.032,0.024,0.017,1.497,1.409,1.435,1.635,1.599,1.786,1.449,1.64,0.079,0.088,0.061,0.07,0.052,0.064,0.082,0.06,0.07,0.057,0.062,0.066,0.087,0.073,0.079
KEPULAUAN SELAYAR,-,0,0,0,-,-,0,0.001,0.005,0.014,0.013,0.009,0.014,0.009,0.007,0.013,1.661,1.811,1.785,1.664,1.828,1.859,1.77,1.87,0.094,0.319,0.1,0.059,0.053,0.038,0.07,0.08,0.057,0.039,0.05,0.028,0.044,0.024,0.037
BULUKUMBA,-,0,0,0,0,-,0,0.001,0.032,0.034,0.034,0.038,0.048,0.041,0.04,0.049,1.838,1.793,1.822,1.871,2.064,1.818,1.879,1.76,0.072,0.146,0.082,0.08,0.099,0.09,0.183,0.138,0.029,0.029,0.041,0.046,0.076,0.054,0.052
BANTAENG,0,0,0,0.001,0.001,0.002,-,0.001,0.078,0.076,0.088,0.099,0.079,0.088,0.083,0.113,1.696,1.734,1.731,1.712,1.714,1.629,1.633,1.722,0.018,0.101,0.11,0.121,0.05,0.043,0.103,0.061,0.06,0.048,0.05,0.053,0.058,0.039,0.036
JENEPONTO,0,0,0,0.001,-,0.001,-,0.001,0.022,0.028,0.026,0.03,0.029,0.025,0.009,0.023,1.961,1.95,2.024,1.933,1.994,1.991,1.936,1.978,0.057,0.146,0.18,0.132,0.04,0.038,0.097,0.048,0.062,0.037,0.044,0.056,0.062,0.054,0.046
TAKALAR,-,0,0,-,-,0,-,0,0.012,0.008,0.012,0.007,0.007,0.005,0.009,0.009,1.77,1.648,1.728,2.034,1.855,1.92,1.844,1.895,0.014,0.04,0.078,0.036,0.036,0.026,0.135,0.063,0.019,0.02,0.036,0.035,0.051,0.032,0.041
GOWA,0,0,0,-,0,-,-,0,0.043,0.054,0.059,0.073,0.047,0.061,0.05,0.047,1.986,1.826,1.842,1.812,1.754,1.88,1.739,1.804,0.02,0.072,0.1,0.057,0.054,0.072,0.105,0.087,0.048,0.054,0.058,0.048,0.05,0.046,0.057
SINJAI,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.019,0.029,0.03,0.034,0.026,0.02,0.029,0.026,1.795,1.753,1.718,1.636,1.725,1.707,1.852,1.776,0.103,0.116,0.281,0.069,0.044,0.108,0.159,0.164,0.039,0.034,0.046,0.022,0.037,0.047,0.034
MAROS,0.001,0,0,-,0,0,0,0,0.025,0.019,0.019,0.019,0.04,0.02,0.014,0.021,1.777,1.687,1.694,1.807,1.799,1.882,1.707,1.619,0.059,0.084,0.168,0.104,0.089,0.092,0.196,0.102,0.052,0.044,0.053,0.077,0.079,0.105,0.058
PANGKAJENE DAN KEPULAUAN,0,0,0.001,0,-,0,0.001,-,0.019,0.017,0.016,0.029,0.028,0.029,0.018,0.036,2.192,2.218,1.948,1.892,2.465,2.199,1.675,1.932,0.013,0.025,0.046,0.042,0.043,0.06,0.123,0.126,0.08,0.055,0.046,0.049,0.056,0.083,0.045
BARRU,0,0,0,0.001,-,-,-,-,0.014,0.011,0.017,0.007,0.012,0.018,0.014,0.014,1.889,1.85,1.889,1.956,1.961,1.823,1.87,1.63,0.016,0.045,0.05,0.034,0.042,0.055,0.055,0.047,0.087,0.074,0.086,0.059,0.054,0.108,0.11
BONE,0,0,0,-,-,-,-,-,0.007,0.007,0.008,0.009,0.011,0.009,0.003,0.005,1.728,1.769,1.776,1.861,1.798,1.799,1.714,1.758,0.083,0.095,0.24,0.03,0.027,0.098,0.116,0.073,0.044,0.054,0.047,0.053,0.052,0.06,0.052
SOPPENG,-,0,0.001,-,0.001,0,-,0,0.003,0.008,0.01,0.015,0.006,0.008,0.004,0.01,1.877,1.655,1.695,1.762,1.715,1.769,1.754,1.842,0.176,0.188,0.14,0.064,0.047,0.058,0.09,0.077,0.01,0.048,0.056,0.047,0.066,0.05,0.05
WAJO,0,0,0,-,0,-,-,-,0.007,0.004,0.004,0.005,0.006,0.008,0.003,0.005,1.841,1.715,1.694,1.741,1.493,1.565,1.571,1.664,0.089,0.121,0.164,0.1,0.08,0.074,0.104,0.102,0.06,0.072,0.07,0.054,0.048,0.048,0.041
SIDENRENG RAPPANG,0,0,0,0,-,0.001,-,-,0.009,0.02,0.014,0.014,0.017,0.006,0.009,0.011,1.534,1.632,1.554,1.933,1.644,1.738,1.699,1.694,0.041,0.094,0.09,0.097,0.039,0.062,0.127,0.066,0.036,0.061,0.062,0.053,0.056,0.049,0.054
